No.;Time;Source;Destination;Protocol;Length;Info
43;10.383803555;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
44;10.623536764;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=9/2304, ttl=64 (reply in 45)
45;10.623676516;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=9/2304, ttl=64 (request in 44)
46;10.655517856;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
47;11.410063389;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
48;11.647519283;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=10/2560, ttl=64 (reply in 49)
49;11.647649188;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=10/2560, ttl=64 (request in 48)
50;11.679519023;HewlettP_61:2d:72;Broadcast;ARP;42;Who has 172.16.1.1? Tell 172.16.50.1
51;12.054651433;Cisco_3a:f6:14;Spanning-tree-(for-bridges)_00;STP;60;Conf. Root = 32768/1/fc:fb:fb:3a:f6:00  Cost = 0  Port = 0x8014
52;12.434063438;HewlettP_c3:78:70;Broadcast;ARP;60;Who has 172.16.1.1? Tell 172.16.1.254
53;12.671527713;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=11/2816, ttl=64 (reply in 54)
54;12.671661040;172.16.1.254;172.16.50.1;ICMP;98;Echo (ping) reply    id=0x0617, seq=11/2816, ttl=64 (request in 53)
55;13.672612418;172.16.50.1;172.16.1.254;ICMP;98;Echo (ping) request  id=0x0617, seq=12/3072, ttl=64 (reply in 56)
